,None_c=3,None_c=4,None_c=5,Normalisation_c=3,Normalisation_c=4,Normalisation_c=5,PCA_c=3,PCA_c=4,PCA_c=5,Transform_c=3,Transform_c=4,Transform_c=5,Scale_c=3,Scale_c=4,Scale_c=5
Silhouette,0.68548158489118,0.68548158489118,0.68548158489118,0.580184463257396,0.580184463257396,0.580184463257396,0.68548158489118,0.68548158489118,0.68548158489118,0.68548158489118,0.68548158489118,0.68548158489118,0.6294675561906644,0.6294675561906644,0.6294675561906644
Calinski-Harabasz,508.8821831629575,508.8821831629575,508.8821831629575,248.90342786485118,248.90342786485118,248.90342786485118,508.8821831629579,508.8821831629579,508.8821831629579,508.8821831629575,508.8821831629575,508.8821831629575,353.3674032325119,353.3674032325119,353.3674032325119
Davies-Bouldin,0.3892910671661126,0.3892910671661126,0.3892910671661126,0.5975546650809878,0.5975546650809878,0.5975546650809878,0.3892910671661127,0.3892910671661127,0.3892910671661127,0.3892910671661126,0.3892910671661126,0.3892910671661126,0.48770481288357487,0.48770481288357487,0.48770481288357487
