,None_c=3,None_c=4,None_c=5,Normalisation_c=3,Normalisation_c=4,Normalisation_c=5,PCA_c=3,PCA_c=4,PCA_c=5,Transform_c=3,Transform_c=4,Transform_c=5,Scale_c=3,Scale_c=4,Scale_c=5
Silhouette,0.4978256901095472,0.4978256901095472,0.4978256901095472,0.38495557913298484,0.38495557913298484,0.38495557913298484,0.49782569010954697,0.49782569010954697,0.49782569010954697,0.4978256901095472,0.4978256901095472,0.4978256901095472,0.4446273300650682,0.4446273300650682,0.4446273300650682
Calinski-Harabasz,529.3982941434156,529.3982941434156,529.3982941434156,206.03347965066808,206.03347965066808,206.03347965066808,529.3982941434158,529.3982941434158,529.3982941434158,529.3982941434156,529.3982941434156,529.3982941434156,313.18384060584265,313.18384060584265,313.18384060584265
Davies-Bouldin,0.78064003623761,0.78064003623761,0.78064003623761,0.8742304784095845,0.8742304784095845,0.8742304784095845,0.780640036237608,0.780640036237608,0.780640036237608,0.78064003623761,0.78064003623761,0.78064003623761,0.9011266144589232,0.9011266144589232,0.9011266144589232
